Id,Label,In-Degree,Out-Degree,Degree,Modularity Class,PageRank,Component ID,Eccentricity,Closeness Centrality,Betweenness Centrality
http://cssanalytics.wordpress.com,CSSA,1,0,1,20,0.0018284174286464807,0,0.0,0.0,0.0
http://blogs.sas.com/content/sascom,SAS Voices,1,0,1,7,0.0016922848837735863,0,0.0,0.0,0.0
http://statisticalgraphics.blog.com,http://statisticalgraphics.blog.com,1,0,1,6,0.0017198281104763456,0,0.0,0.0,0.0
http://rdatamining.wordpress.com,blog.RDataMining.com,0,0,0,0,0.0016015298538583234,1,0.0,0.0,0.0
http://chartporn.org,Chart Porn,1,3,4,6,0.0017198281104763456,0,3.0,2.0760869565217392,77.0
http://allthingsr.blogspot.com,All Things R,0,0,0,1,0.0016015298538583234,2,0.0,0.0,0.0
http://ejfox.com,http://ejfox.com,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://swedeneurostat.blogspot.com,Sweden Statistics,1,0,1,7,0.0016922848837735863,0,0.0,0.0,0.0
http://psychologicalstatistics.blogspot.com,Psychological Statistics,3,5,8,9,0.004697333742365041,0,6.0,3.9291666666666667,476.83333333333337
http://cscs.umich.edu/~crshalizi/weblog,http://cscs.umich.edu/~crshalizi/weblog,1,0,1,13,0.0016207117282206211,0,0.0,0.0,0.0
http://blog.sigfpe.com,A Neighborhood of Infinity,1,0,1,13,0.0016207117282206211,0,0.0,0.0,0.0
http://threesixty360.wordpress.com,360,1,0,1,16,0.0016669669703948272,0,0.0,0.0,0.0
http://yaroslavvb.blogspot.com,"Machine Learning, etc",2,0,2,16,0.0016861488447571249,0,0.0,0.0,0.0
http://www.datavisualization.fr,Looking 4 data visualization,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://www.ask-cato.com,Ask Cato,1,0,1,7,0.0017754932701689926,0,0.0,0.0,0.0
http://www.columnfivemedia.com,Column Five Media,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://complexdiagrams.com,Complex Diagrams,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://bigcomputing.blogspot.com,Big Computing,1,0,1,7,0.0020005977174444196,0,0.0,0.0,0.0
http://www.edgebio.com/blog,EdgeBio blogs,1,0,1,18,0.0016644713620871804,0,0.0,0.0,0.0
http://blog.smola.org,http://blog.smola.org,1,0,1,13,0.0019511032648603954,0,0.0,0.0,0.0
http://manyeyes.alphaworks.ibm.com/manyeyes,http://manyeyes.alphaworks.ibm.com/manyeyes,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://pbeltrao.blogspot.com,Public Rambling,2,0,2,18,0.0017372076308805003,0,0.0,0.0,0.0
http://junkcharts.typepad.com/junk_charts,http://junkcharts.typepad.com/junk_charts,2,25,27,6,0.0020155737520214006,0,6.0,3.2738095238095237,419.5
http://jess3.com,http://jess3.com,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://cra.org/govaffairs/blog,COMPUTING RESEARCH POLICY BLOG,1,0,1,15,0.0019522601221968231,0,0.0,0.0,0.0
http://www.marketingcharts.com,"Marketing Charts, Stats, Facts & Trends",1,0,1,26,0.0017127663164699975,0,0.0,0.0,0.0
http://www.graphoftheweek.org,Graph of the Week,0,4,4,9,0.0016015298538583234,0,1.0,1.0,0.0
http://peltiertech.com/WordPress,Peltier Tech Blog,2,0,2,6,0.001836523407161793,0,0.0,0.0,0.0
http://www.joeparry.com/blog,Visual Design & Analysis,1,0,1,6,0.0016700608518722898,0,0.0,0.0,0.0
http://www.sas-programming.com,SAS Programming for Data Mining,0,2,2,9,0.0016015298538583234,0,1.0,1.0,0.0
http://blogs.williams.edu/Morgan,Frank Morgan,2,0,2,15,0.0020485795962517346,0,0.0,0.0,0.0
http://hdr.undp.org,http://hdr.undp.org,1,0,1,7,0.0016922848837735863,0,0.0,0.0,0.0
http://taoshistat.wordpress.com,Learning From Data,1,5,6,6,0.0016258392368713403,0,6.0,3.8666666666666667,3.0
http://biostatmatt.com,BioStatMatt,0,0,0,2,0.0016015298538583234,3,0.0,0.0,0.0
http://www.datadrivenconsulting.com,http://www.datadrivenconsulting.com,1,0,1,10,0.0016241692815705314,0,0.0,0.0,0.0
http://www.comscoredatamine.com,http://www.comscoredatamine.com,1,0,1,26,0.0017127663164699975,0,0.0,0.0,0.0
https://gephi.org,Gephi,1,0,1,7,0.0016922848837735863,0,0.0,0.0,0.0
http://spittoon.23andme.com,The 23andMe Blog,1,0,1,18,0.0017397287645656314,0,0.0,0.0,0.0
http://weblog.fortnow.com,http://weblog.fortnow.com,2,0,2,15,0.0030179055459224305,0,0.0,0.0,0.0
http://liesdamnedliesstatistics.com,"Lies, damned lies and statistics",1,13,14,26,0.0017012303427699094,0,7.0,4.317796610169491,334.0
